"year","actual","synthetic","gap"
1970,0.527509569230232,0.519904282337647,0.00760528689258488
1971,0.53226399253408,0.541494643341027,-0.00923065080694718
1972,0.553171052904331,0.543319667126838,0.00985138577749323
1973,0.575920751216145,0.558554839064671,0.0173659121514734
1974,0.585672901025262,0.609711871229553,-0.0240389702042907
1975,0.591446912606892,0.629614782616271,-0.0381678700093798
1976,0.693956338571934,0.685956147241678,0.00800019133025631
1977,0.739360154321724,0.721791960336068,0.0175681939856551
1978,0.740188191736506,0.76618097819561,-0.0259927864591039
1979,0.845929927970508,0.808891387292798,0.0370385406777106
1980,0.828160233729549,0.83633487987663,-0.00817464614708108
1981,0.95344419063906,0.871540789566575,0.0819034010724845
1982,0.929979050738304,0.93107264222168,-0.00109359148337584
1983,0.989607790852918,0.991416647800094,-0.00180885694717681
1984,0.962240743954545,1.04124164368173,-0.0790008997271869
1985,1.01123609416789,1.09236702458297,-0.0811309304150758
1986,1.06876389451239,0.988575240005237,0.0801886545071544
1987,1.02934304527456,0.979597673481197,0.0497453717933614
1988,1.05104082336237,0.96181384016907,0.0892269831933011
1989,1.13440199023292,1.0154439032051,0.118958087027825
1990,1.10141187312548,0.979889926434255,0.121521946691226
1991,0.990605058060605,1.00456380333997,-0.0139587452793679
1992,1.0519089750299,0.984199709751648,0.067709265278255
1993,0.957485966909491,1.01123648690848,-0.0537505199989848
1994,0.427617792814766,0.992006929270808,-0.564389136456042
1995,0.533870720465422,1.03812510656616,-0.504254386100733
1996,0.619345314170653,1.12432933532213,-0.504984021151472
1997,0.724335916328036,1.10720412301963,-0.382868206691593
1998,0.780745186979465,1.11542719853166,-0.334682011552196
1999,0.799575326607487,1.19203025061189,-0.3924549240044
2000,0.794347102332449,1.30184355820809,-0.507496455875642
2001,0.848068859546134,1.33065958440227,-0.482590724856138
2002,0.953742040734432,1.35262951169885,-0.398887470964415
2003,0.970328046152191,1.37457067400535,-0.404242627853156
2004,1.06641229372377,1.46000332494939,-0.393591031225617
2005,1.17081285554971,1.61864374349351,-0.447830887943802
2006,1.31793361084095,1.76479301000767,-0.446859399166723
2007,1.4135749036745,1.76504477933967,-0.351469875665168
2008,1.50239295313559,1.86905991059779,-0.366666957462201
2009,1.62274505015237,1.86799690706092,-0.245251856908557
2010,1.74695264332055,2.09043677485221,-0.343484131531664
2011,1.90503491885566,2.1434315502693,-0.238396631413643
