"countrycode","year","hc","yearly_change"
"CMR",1970,1.27448070049286,NA
"CMR",1971,1.29508495330811,0.0206042528152499
"CMR",1972,1.31602227687836,0.0209373235702501
"CMR",1973,1.33729815483093,0.0212758779525699
"CMR",1974,1.35891795158386,0.0216197967529301
"CMR",1975,1.38088726997375,0.0219693183898899
"CMR",1976,1.40394055843353,0.0230532884597801
"CMR",1977,1.42737865447998,0.02343809604645
"CMR",1978,1.45120811462402,0.0238294601440401
"CMR",1979,1.4754353761673,0.0242272615432799
"CMR",1980,1.50006711483002,0.02463173866272
"CMR",1981,1.52609252929688,0.0260254144668601
"CMR",1982,1.55256962776184,0.0264770984649598
"CMR",1983,1.57950592041016,0.0269362926483201
"CMR",1984,1.6069096326828,0.02740371227264
"CMR",1985,1.63478875160217,0.0278791189193699
"CMR",1986,1.6642746925354,0.02948594093323
"CMR",1987,1.6942925453186,0.0300178527832
"CMR",1988,1.72097313404083,0.0266805887222301
"CMR",1989,1.74431777000427,0.0233446359634399
"CMR",1990,1.76797902584076,0.0236612558364899
"CMR",1991,1.79045224189758,0.02247321605682
"CMR",1992,1.81321132183075,0.0227590799331701
"CMR",1993,1.83625960350037,0.02304828166962
"MLI",1970,1.03986310958862,NA
"MLI",1971,1.04419803619385,0.00433492660523016
"MLI",1972,1.0485508441925,0.0043528079986499
"MLI",1973,1.05292201042175,0.00437116622925005
"MLI",1974,1.05731129646301,0.00438928604125999
"MLI",1975,1.06171882152557,0.00440752506255992
"MLI",1976,1.06656670570374,0.00484788417817006
"MLI",1977,1.07143676280975,0.00487005710601007
"MLI",1978,1.07632911205292,0.00489234924316984
"MLI",1979,1.08124375343323,0.00491464138031006
"MLI",1980,1.08618080615997,0.00493705272674005
"MLI",1981,1.09090030193329,0.00471949577331987
"MLI",1982,1.0956404209137,0.00474011898041016
"MLI",1983,1.10040104389191,0.00476062297821
"MLI",1984,1.10518229007721,0.00478124618529985
"MLI",1985,1.10998451709747,0.00480222702026012
"MLI",1986,1.11367678642273,0.0036922693252599
"MLI",1987,1.1173814535141,0.00370466709137007
"MLI",1988,1.12109839916229,0.00371694564819003
"MLI",1989,1.12482762336731,0.00372922420501998
"MLI",1990,1.12856936454773,0.00374174118041992
"MLI",1991,1.13222742080688,0.00365805625915017
"MLI",1992,1.13589727878571,0.0036698579788299
"MLI",1993,1.13957905769348,0.00368177890776988
"RWA",1970,1.16741025447845,NA
"RWA",1971,1.17606353759766,0.0086532831192101
"RWA",1972,1.18478095531464,0.00871741771697998
"RWA",1973,1.19356286525726,0.00878190994262007
"RWA",1974,1.20240998268127,0.0088471174240099
"RWA",1975,1.21132266521454,0.00891268253326993
"RWA",1976,1.21923327445984,0.00791060924530007
"RWA",1977,1.2271956205368,0.00796234607696
"RWA",1978,1.23520994186401,0.00801432132720992
"RWA",1979,1.24327659606934,0.00806665420533004
"RWA",1980,1.25139582157135,0.00811922550201016
"RWA",1981,1.25804352760315,0.00664770603179998
"RWA",1982,1.26472651958466,0.0066829919815099
"RWA",1983,1.27144491672516,0.00671839714050004
"RWA",1984,1.27819907665253,0.00675415992736994
"RWA",1985,1.28498911857605,0.00679004192352006
"RWA",1986,1.29488933086395,0.00990021228789995
"RWA",1987,1.30486583709717,0.00997650623322
"RWA",1988,1.31491911411285,0.01005327701568
"RWA",1989,1.32504987716675,0.0101307630539
"RWA",1990,1.3352587223053,0.01020884513855
"RWA",1991,1.35232937335968,0.0170706510543799
"RWA",1992,1.36961829662323,0.01728892326355
"RWA",1993,1.38712823390961,0.0175099372863801
"SEN",1970,1.3543119430542,NA
"SEN",1971,1.36383783817291,0.00952589511870983
"SEN",1972,1.37343060970306,0.00959277153015003
"SEN",1973,1.3830908536911,0.00966024398804
"SEN",1974,1.39281916618347,0.00972831249236994
"SEN",1975,1.40261578559875,0.0097966194152801
"SEN",1976,1.41401624679565,0.0114004611969001
"SEN",1977,1.42550933361053,0.0114930868148799
"SEN",1978,1.43709588050842,0.01158654689789
"SEN",1979,1.44877660274506,0.01168072223664
"SEN",1980,1.46055233478546,0.0117757320404002
"SEN",1981,1.47210025787354,0.0115479230880799
"SEN",1982,1.4837394952774,0.0116392374038599
"SEN",1983,1.49547076225281,0.0117312669754102
"SEN",1984,1.50729477405548,0.01182401180267
"SEN",1985,1.51921224594116,0.01191747188568
"SEN",1986,1.5332944393158,0.0140821933746398
"SEN",1987,1.54750716686249,0.0142127275466901
"SEN",1988,1.56185150146484,0.01434433460235
"SEN",1989,1.57632887363434,0.0144773721695
"SEN",1990,1.59094047546387,0.0146116018295301
"SEN",1991,1.60692071914673,0.01598024368286
"SEN",1992,1.62306141853333,0.0161406993866
"SEN",1993,1.63936424255371,0.01630282402038
"ZMB",1970,1.49114346504211,NA
"ZMB",1971,1.52194929122925,0.03080582618714
"ZMB",1972,1.55339157581329,0.0314422845840399
"ZMB",1973,1.58548331260681,0.0320917367935201
"ZMB",1974,1.6182382106781,0.03275489807129
"ZMB",1975,1.65166974067688,0.0334315299987802
"ZMB",1976,1.6691347360611,0.0174649953842199
"ZMB",1977,1.68678450584412,0.01764976978302
"ZMB",1978,1.70462095737457,0.0178364515304501
"ZMB",1979,1.71931409835815,0.01469314098358
"ZMB",1980,1.73299944400787,0.0136853456497199
"ZMB",1981,1.74929690361023,0.01629745960236
"ZMB",1982,1.76574766635895,0.01645076274872
"ZMB",1983,1.7823531627655,0.0166054964065501
"ZMB",1984,1.79911482334137,0.01676166057587
"ZMB",1985,1.81603419780731,0.0169193744659399
"ZMB",1986,1.82677507400513,0.01074087619782
"ZMB",1987,1.83757948875427,0.01080441474914
"ZMB",1988,1.84844779968262,0.0108683109283501
