"unit","pre_rmspe","post_rmspe","ratio","rank"
"LBR",0.000939205273603746,0.123053590287444,131.018845129868,1
"RWA",0.000751563553364902,0.0797374931396596,106.095476267654,2
"MWI",0.0015723332918138,0.07975341847041,50.7229725947027,3
"SEN",0.000469489656392385,0.0198150240411799,42.2054538825006,4
"CIV",0.00167742107469183,0.0644727207843132,38.4356210596422,5
"MRT",0.00131347705383073,0.049887524933619,37.9812687158279,6
"NAM",0.00421760776788468,0.159078297539315,37.7176604118168,7
"GMB",0.00212971745134601,0.0505064987547822,23.7151171029103,8
"MLI",0.00213378225279296,0.0405675870410265,19.012055699651,9
"SLE",0.00108745896907065,0.0194787367471339,17.9121578847067,10
"GHA",0.00225023306355983,0.0362267520054764,16.0991110619299,11
"GAB",0.00445856937729445,0.0714559795185726,16.026660902142,12
"BEN",0.00740384115472923,0.0871768249085108,11.7745401456684,13
"TGO",0.00467712304523613,0.041591361800755,8.89250964716821,14
"LSO",0.00390790356397042,0.0326052738642662,8.34341823705071,15
"ZWE",0.00274619056636944,0.0210880116166813,7.67900519174836,16
"SDN",0.00178977129421333,0.0128504229134141,7.17992458308052,17
"ZMB",0.00856765517113318,0.0614936258997404,7.17741606909316,18
"KEN",0.00307398591093949,0.0202984769963817,6.60330840299067,19
"MUS",0.0049654141315787,0.0284574057168358,5.73112432573435,20
"CMR",0.00120107875764051,0.00671718762955266,5.59262878210284,21
"COG",0.00964952036893382,0.0512319258280798,5.30927174297891,22
"CAF",0.00363855527104553,0.016712235605798,4.59309653443736,23
"NER",0.00301949523267314,0.0110568179991396,3.66181005338136,24
"ZAF",0.0312012244836114,0.0606134422594027,1.94266229170718,25
"SWZ",0.0077751913911815,0.014220122664994,1.8289096627412,26
"MOZ",0.0557080222325659,0.0593738695890766,1.06580465810125,27
"BWA",0.0942458124117738,0.051701493592399,0.548581335014733,28
