"year","actual","synthetic","gap"
1970,0.852315908819716,0.853413517227737,-0.00109760840802109
1971,0.858633594344347,0.859023293998032,-0.000389699653685627
1972,0.864998103971966,0.864731029626697,0.00026707434526807
1973,0.87140969880352,0.870542397595021,0.000867301208498761
1974,0.87786890104091,0.876425156746031,0.0014437442948787
1975,0.884375971785084,0.882412171600909,0.00196380018417486
1976,0.890151437678381,0.888904696503562,0.00124674117481915
1977,0.895964676175205,0.895444249267519,0.000520426907685723
1978,0.901815861342861,0.90198593976288,-0.000170078420019149
1979,0.907705254282297,0.908209978275483,-0.000504723993186018
1980,0.913633029060796,0.914337404431534,-0.000704375370737864
1981,0.918486460479891,0.918968939490676,-0.000482479010785131
1982,0.923365653859,0.923606028803439,-0.000240374944438404
1983,0.928270696231765,0.928260031404771,1.0664826994522e-05
1984,0.93320184869914,0.932946394041337,0.000255454657803078
1985,0.938159198294767,0.937678136736265,0.000481061558501916
1986,0.945387255784667,0.9449084952078,0.000478760576867354
1987,0.952671014809733,0.952356087198339,0.000314927611394178
1988,0.960010823504547,0.960012812703137,-1.9891985892917e-06
1989,0.967407204071017,0.967885292103221,-0.000478088032203949
1990,0.974860591677373,0.975993664220894,-0.0011330725435208
1991,0.987323723135867,0.987794691087344,-0.000470967951477386
1992,0.99994621320511,0.999896983526938,4.92296781718915e-05
1993,1.01273006365902,1.01230833599955,0.000421727659470461
1994,1.02567736330517,1.02503690022545,0.000640463079720988
1995,1.03879020095112,1.03614695575307,0.00264324519804937
1996,1.05406652103616,1.03822935606162,0.0158371649745432
1997,1.06956747496847,1.04035362099213,0.0292138539763358
1998,1.08529637002669,1.04200806084333,0.0432883091833589
1999,1.10125660052312,1.04340213056371,0.0578544699594152
2000,1.11745156077007,1.04485383527249,0.0725977254975776
2001,1.13041130622798,1.05248341288822,0.077927893339756
2002,1.14352127176353,1.06017124635291,0.0833500254106141
2003,1.15678337211697,1.06788982880146,0.0888935433155102
2004,1.17019917389401,1.07496064408578,0.0952385298082277
2005,1.18377067886855,1.08199298394437,0.101777694924183
2006,1.19499123092473,1.09312071788851,0.101870513036221
2007,1.20631822513324,1.10437494472002,0.101943280413223
2008,1.2177525318306,1.11573094857273,0.102021583257875
2009,1.22929519542057,1.12718094770461,0.102114247715954
2010,1.24094726030694,1.13875814028714,0.102189120019801
2011,1.24094726030694,1.13875814028714,0.102189120019801
