"year","actual","synthetic","gap"
1970,0.527509569230232,0.504140168093153,0.0233694011370781
1971,0.53226399253408,0.529399825709113,0.00286416682496704
1972,0.553171052904331,0.550120755172913,0.00305029773141796
1973,0.575920751216145,0.563865209700892,0.0120555415152528
1974,0.585672901025262,0.600443640890167,-0.0147707398649047
1975,0.591446912606892,0.633206284027517,-0.041759371420625
1976,0.693956338571934,0.667497934876749,0.0264584036951848
1977,0.739360154321724,0.718435499562339,0.0209246547593847
1978,0.740188191736506,0.794960462848624,-0.0547722711121176
1979,0.845929927970508,0.823638556961621,0.022291371008887
1980,0.828160233729549,0.823844047833739,0.00431618589581084
1981,0.95344419063906,0.860764951729769,0.0926792389092912
1982,0.929979050738304,0.932959235287653,-0.00298018454934945
1983,0.989607790852918,1.00204411590835,-0.0124363250554329
1984,0.962240743954545,1.05880522628909,-0.0965644823345495
1985,1.01123609416789,1.10908582572937,-0.0978497315614848
1986,1.06876389451239,1.05155611784881,0.0172077766635852
1987,1.02934304527456,1.03402384203872,-0.00468079676415734
1988,1.05104082336237,1.033385666123,0.0176551572393733
1989,1.13440199023292,1.06013091461479,0.0742710756181344
1990,1.10141187312548,1.03631119437955,0.065100678745933
1991,0.990605058060605,1.02829207128248,-0.037687013221871
1992,1.0519089750299,0.995319691925406,0.0565892831044972
1993,0.957485966909491,0.976388237118706,-0.0189022702092146
1994,0.427617792814766,1.00490500459138,-0.577287211776613
1995,0.533870720465422,1.04823411462077,-0.514363394155347
1996,0.619345314170653,1.11573082532622,-0.496385511155563
1997,0.724335916328036,1.11387767591971,-0.389541759591679
1998,0.780745186979465,1.14702043483074,-0.366275247851279
1999,0.799575326607487,1.19703582094929,-0.397460494341805
2000,0.794347102332449,1.24491639214239,-0.450569289809936
2001,0.848068859546134,1.25425717727388,-0.406188317727742
2002,0.953742040734432,1.26713199590777,-0.313389955173339
2003,0.970328046152191,1.29945757454204,-0.329129528389854
2004,1.06641229372377,1.33395845097568,-0.26754615725191
2005,1.17081285554971,1.40200390021696,-0.231191044667253
2006,1.31793361084095,1.50579668365789,-0.187863072816941
2007,1.4135749036745,1.54771990889663,-0.134145005222132
2008,1.50239295313559,1.59369172674719,-0.0912987736116027
2009,1.62274505015237,1.64269193041642,-0.0199468802640537
2010,1.74695264332055,1.76633915123003,-0.019386507909477
2011,1.90503491885566,1.81416737576284,0.0908675430928156
