"year","actual","synthetic_published","synthetic_reestimated","gap_published","gap_reestimated"
1970,0.527509569230232,0.54571471597972,0.532533945435109,-0.018205146749488,-0.00502437620487728
1971,0.53226399253408,0.563169302532074,0.557985013635505,-0.0309053099979939,-0.0257210211014249
1972,0.553171052904331,0.584720547480689,0.5687587388277,-0.0315494945763577,-0.0155876859233692
1973,0.575920751216145,0.607950762965526,0.564649257295404,-0.0320300117493817,0.0112714939207403
1974,0.585672901025262,0.662149825730779,0.611492083656252,-0.0764769247055166,-0.0258191826309893
1975,0.591446912606892,0.673990192176964,0.640972028884631,-0.0825432795700721,-0.0495251162777395
1976,0.693956338571934,0.725471073552543,0.684526626885214,-0.031514734980609,0.00942971168671991
1977,0.739360154321724,0.76813422632705,0.736362251222073,-0.0287740720053264,0.00299790309965031
1978,0.740188191736506,0.843630724076433,0.788791407267228,-0.103442532339926,-0.0486032155307211
1979,0.845929927970508,0.875889649248243,0.822422297098045,-0.0299597212777352,0.0235076308724627
1980,0.828160233729549,0.894291411755217,0.826873430437351,-0.0661311780256678,0.00128680329219832
1981,0.95344419063906,0.903087794824165,0.856029215411191,0.0503563958148951,0.097414975227869
1982,0.929979050738304,0.943109669491738,0.933217690875108,-0.0131306187534346,-0.00323864013680408
1983,0.989607790852918,0.9954161097787,0.984359486708795,-0.00580831892578271,0.00524830414412236
1984,0.962240743954545,1.01557659232436,1.01717427520472,-0.053335848369819,-0.0549335312501746
1985,1.01123609416789,1.05355269123605,1.06863191689522,-0.042316597068162,-0.0573958227273321
1986,1.06876389451239,0.974035266707288,1.03631921735801,0.0947286278051035,0.0324446771543794
1987,1.02934304527456,0.976139898818772,1.02280654884401,0.0532031464557864,0.00653649643054832
1988,1.05104082336237,0.987860553401026,1.02925186598942,0.0631802699613452,0.0217889573729482
1989,1.13440199023292,1.0430153805034,1.04307565576203,0.0913866097295202,0.0913263344708948
1990,1.10141187312548,1.00756059236393,1.03247578290883,0.0938512807615541,0.0689360902166514
1991,0.990605058060605,1.01662438883171,1.02954233761915,-0.0260193307710999,-0.038937279558545
1992,1.0519089750299,0.995631642552056,0.997086752963556,0.0562773324778474,0.0548222220663471
1993,0.957485966909491,0.990743968616239,0.973370909417293,-0.0332580017067474,-0.015884942507802
1994,0.427617792814766,1.00991854242641,1.005464042626,-0.582300749611641,-0.577846249811236
1995,0.533870720465422,1.0442687878824,1.0416493396584,-0.510398067416977,-0.507778619192977
1996,0.619345314170653,1.12666449545026,1.09946351068327,-0.507319181279603,-0.48011819651262
1997,0.724335916328036,1.07546522771563,1.10741995128267,-0.351129311387596,-0.383084034954638
1998,0.780745186979465,1.09661255513232,1.14323797499357,-0.31586736815285,-0.362492788014108
1999,0.799575326607487,1.15638310285035,1.2039912538928,-0.356807776242858,-0.404415927285316
2000,0.794347102332449,1.24140810972644,1.25471294229634,-0.447061007393993,-0.460365839963889
2001,0.848068859546134,1.2616792464389,1.26646025148489,-0.413610386892762,-0.418391391938756
2002,0.953742040734432,1.26767180606056,1.28386801413337,-0.313929765326131,-0.330125973398938
2003,0.970328046152191,1.28937800997984,1.3336036505296,-0.319049963827646,-0.363275604377413
2004,1.06641229372377,1.34482968035303,1.37672663374678,-0.278417386629255,-0.310314340023005
2005,1.17081285554971,1.47890399197434,1.46505931009143,-0.308091136424629,-0.294246454541722
2006,1.31793361084095,1.56184175920215,1.59079730183162,-0.2439081483612,-0.272863690990667
2007,1.4135749036745,1.5977724267951,1.63574616049758,-0.184197523120599,-0.22217125682308
2008,1.50239295313559,1.70136074546279,1.66592205740077,-0.198967792327205,-0.163529104265185
2009,1.62274505015237,1.69379862716516,1.7395049675276,-0.0710535770127954,-0.116759917375234
2010,1.74695264332055,1.8828433952566,1.87203832470882,-0.135890751936051,-0.125085681388269
2011,1.90503491885566,1.90891727938458,1.92296666889645,-0.00388236052891955,-0.0179317500407949
