"year","actual","synthetic","gap"
1970,0.527509569230232,0.535766380906549,-0.00825681167631764
1971,0.53226399253408,0.555928574954557,-0.0236645824204778
1972,0.553171052904331,0.572032681260586,-0.0188616283562543
1973,0.575920751216145,0.589059407734997,-0.0131386565188519
1974,0.585672901025262,0.654645914204746,-0.0689730131794842
1975,0.591446912606892,0.646124826864596,-0.054677914257704
1976,0.693956338571934,0.676302208687108,0.0176541298848263
1977,0.739360154321724,0.694746614926073,0.04461353939565
1978,0.740188191736506,0.707919956658382,0.0322682350781244
1979,0.845929927970508,0.752892560880002,0.0930373670905057
1980,0.828160233729549,0.805837361248414,0.022322872481135
1981,0.95344419063906,0.854471706568045,0.0989724840710149
1982,0.929979050738304,0.901783088419159,0.0281959623191448
1983,0.989607790852918,0.995740142404613,-0.00613235155169534
1984,0.962240743954545,1.10560049061938,-0.143359746664837
1985,1.01123609416789,1.13326781956876,-0.122031725400865
1986,1.06876389451239,0.932534666877867,0.136229227634524
1987,1.02934304527456,0.934582914984857,0.0947601302897013
1988,1.05104082336237,0.925831814857883,0.125209008504488
1989,1.13440199023292,0.978367384962016,0.156034605270906
1990,1.10141187312548,0.955243647333328,0.146168225792153
1991,0.990605058060605,1.0187380856107,-0.0281330275500959
1992,1.0519089750299,0.978763495699944,0.0731454793299596
1993,0.957485966909491,1.00249841869064,-0.0450124517811475
1994,0.427617792814766,0.946262371532383,-0.518644578717617
1995,0.533870720465422,0.986158740760798,-0.452288020295376
1996,0.619345314170653,1.10114792023408,-0.481802606063429
1997,0.724335916328036,1.13043613128489,-0.406100214956853
1998,0.780745186979465,1.06093678198006,-0.280191595000596
1999,0.799575326607487,1.20580037405591,-0.40622504744842
2000,0.794347102332449,1.44541876749393,-0.651071665161485
2001,0.848068859546134,1.51541880714068,-0.667349947594544
2002,0.953742040734432,1.75654779706438,-0.802805756329948
2003,0.970328046152191,1.73110349183793,-0.76077544568574
2004,1.06641229372377,2.1378559196823,-1.07144362595852
2005,1.17081285554971,2.61450012189903,-1.44368726634933
2006,1.31793361084095,2.69814053031577,-1.38020691947481
2007,1.4135749036745,2.68519219053665,-1.27161728686215
2008,1.50239295313559,3.04091993078523,-1.53852697764964
2009,1.62274505015237,2.4558400129793,-0.83309496282693
2010,1.74695264332055,2.71463384026236,-0.967681196941814
2011,1.90503491885566,2.98193775927741,-1.07690284042176
