"countrycode","hc.2010","hc.2011","frozen"
"CMR",2.13749933242798,2.13749933242798,TRUE
"MLI",1.37585759162903,1.37585759162903,TRUE
"RWA",1.69971549510956,1.69971549510956,TRUE
"SEN",1.92946994304657,1.92946994304657,TRUE
"ZMB",2.24123311042786,2.24123311042786,TRUE
