"year","actual","synthetic","gap"
1970,0.527509569230232,0.523551378447887,0.00395819078234427
1971,0.53226399253408,0.549445041680076,-0.0171810491459959
1972,0.553171052904331,0.540753791981585,0.0124172609227468
1973,0.575920751216145,0.559433055984259,0.0164876952318859
1974,0.585672901025262,0.613049591090975,-0.0273766900657132
1975,0.591446912606892,0.618168260509069,-0.0267213479021773
1976,0.693956338571934,0.688500908942059,0.00545542962987489
1977,0.739360154321724,0.715915629644563,0.0234445246771605
1978,0.740188191736506,0.761951353317431,-0.0217631615809244
1979,0.845929927970508,0.824634744165791,0.021295183804717
1980,0.828160233729549,0.866879131751103,-0.038718898021554
1981,0.95344419063906,0.911383271169808,0.0420609194692514
1982,0.929979050738304,0.922287737834462,0.0076913129038414
1983,0.989607790852918,0.976707330672959,0.0129004601799582
1984,0.962240743954545,0.975468796344101,-0.0132280523895559
1985,1.01123609416789,1.02652942921451,-0.0152933350466176
1986,1.06876389451239,0.955357424293473,0.113406470218919
1987,1.02934304527456,0.891540374800885,0.137802670473674
1988,1.05104082336237,0.874034623130468,0.177006200231903
1989,1.13440199023292,0.970002282852178,0.164399707380745
1990,1.10141187312548,0.98042096149849,0.120990911626991
1991,0.990605058060605,0.996787865211469,-0.00618280715086361
1992,1.0519089750299,0.98263681756557,0.0692721574643336
1993,0.957485966909491,1.02057531722296,-0.0630893503134703
1994,0.427617792814766,1.05395371410401,-0.62633592128924
1995,0.533870720465422,1.11933612149149,-0.585465401026071
1996,0.619345314170653,1.18063499604803,-0.561289681877373
1997,0.724335916328036,1.15025178370075,-0.42591586737271
1998,0.780745186979465,1.14089024426341,-0.360145057283948
1999,0.799575326607487,1.18620788732425,-0.386632560716766
2000,0.794347102332449,1.24210263172471,-0.447755529392262
2001,0.848068859546134,1.28235579812357,-0.434286938577435
2002,0.953742040734432,1.29336851257569,-0.339626471841255
2003,0.970328046152191,1.33756091515045,-0.367232868998261
2004,1.06641229372377,1.42760249449527,-0.361190200771498
2005,1.17081285554971,1.63405420332079,-0.463241347771082
2006,1.31793361084095,1.72660137382616,-0.408667762985209
2007,1.4135749036745,1.79709818303839,-0.383523279363889
2008,1.50239295313559,1.97372975768338,-0.47133680454779
2009,1.62274505015237,1.96641912692903,-0.343674076776665
2010,1.74695264332055,2.21152603872706,-0.464573395406507
2011,1.90503491885566,2.20869868392062,-0.30366376506496
