"year","actual","synthetic","gap"
1970,0.527509569230232,0.526280865433392,0.00122870379683937
1971,0.53226399253408,0.554292595953254,-0.0220286034191748
1972,0.553171052904331,0.539063552191155,0.0141075007131761
1973,0.575920751216145,0.546783099766571,0.0291376514495737
1974,0.585672901025262,0.60563084792599,-0.0199579469007282
1975,0.591446912606892,0.613636737187069,-0.0221898245801774
1976,0.693956338571934,0.687838763078287,0.00611757549364744
1977,0.739360154321724,0.716987117957004,0.0223730363647193
1978,0.740188191736506,0.75884429499489,-0.0186561032583836
1979,0.845929927970508,0.833505603620918,0.0124243243495901
1980,0.828160233729549,0.875221094499235,-0.047060860769686
1981,0.95344419063906,0.89883407033399,0.0546101203050696
1982,0.929979050738304,0.930808686012183,-0.000829635273879248
1983,0.989607790852918,0.978894403745099,0.0107133871078184
1984,0.962240743954545,0.974375070416603,-0.0121343264620579
1985,1.01123609416789,1.03152066707225,-0.020284572904359
1986,1.06876389451239,0.964143502133114,0.104620392379278
1987,1.02934304527456,0.929196815353113,0.100146229921446
1988,1.05104082336237,0.895745867024663,0.155294956337708
1989,1.13440199023292,0.979423340907806,0.154978649325117
1990,1.10141187312548,0.965639741840642,0.135772131284839
1991,0.990605058060605,0.991248655953232,-0.000643597892626802
1992,1.0519089750299,0.982212835467293,0.0696961395626107
1993,0.957485966909491,1.02653850857947,-0.0690525416699838
1994,0.427617792814766,1.03501783725904,-0.607400044444269
1995,0.533870720465422,1.10350863896251,-0.569637918497085
1996,0.619345314170653,1.18397305952782,-0.56462774535717
1997,0.724335916328036,1.16588415580691,-0.441548239478873
1998,0.780745186979465,1.17777703834117,-0.397031851361703
1999,0.799575326607487,1.23275002452071,-0.433174697913226
2000,0.794347102332449,1.30047635372763,-0.506129251395183
2001,0.848068859546134,1.35199678683131,-0.503927927285177
2002,0.953742040734432,1.37777609721584,-0.424034056481407
2003,0.970328046152191,1.41525033536014,-0.444922289207948
2004,1.06641229372377,1.49370087574123,-0.427288582017452
2005,1.17081285554971,1.67502688420363,-0.50421402865392
2006,1.31793361084095,1.80446213417275,-0.486528523331799
2007,1.4135749036745,1.83347765450157,-0.419902750827065
2008,1.50239295313559,1.98571722098238,-0.483324267846792
2009,1.62274505015237,1.97852248735635,-0.355777437203988
2010,1.74695264332055,2.2214545498909,-0.474501906570356
2011,1.90503491885566,2.23162170953612,-0.326586790680463
